station,valid,lon,lat,metar,day,hour,min,wind_hdg,wind_vrb,wind_speed,wind_gust,wind_unit,wind_hdg_min,wind_hdg_max,vsby_dist,vsby_dir_dist_1,rvr_rwy_1,rvr_vis_1,rvr_rwy_2,rvr_vis_2,rvr_rwy_3,rvr_vis_3,rvr_rwy_4,rvr_vis_4,wx,skyc_1,skyl_1,skyx_1,skyc_2,skyl_2,skyx_2,skyc_3,skyl_3,skyc_4,skyl_4,vv,tmp,dwp,qnh,trend,unhandled,unknown
EHAM,2018-11-01 00:25,4.7902,52.3154,EHAM 010025Z 13009KT CAVOK 09/07 Q1010 NOSIG,1,0,25,130,FALSE,9,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,7,1010,,,
EHAM,2018-11-01 00:55,4.7902,52.3154,EHAM 010055Z 12008KT CAVOK 09/07 Q1010 NOSIG,1,0,55,120,FALSE,8,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,7,1010,,,
EHAM,2018-11-01 01:25,4.7902,52.3154,EHAM 010125Z 12008KT CAVOK 09/07 Q1010 NOSIG,1,1,25,120,FALSE,8,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,7,1010,,,
EHAM,2018-11-01 01:55,4.7902,52.3154,EHAM 010155Z 12009KT CAVOK 09/06 Q1009 NOSIG,1,1,55,120,FALSE,9,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,6,1009,,,
EHAM,2018-11-01 02:25,4.7902,52.3154,EHAM 010225Z 12009KT CAVOK 09/06 Q1009 NOSIG,1,2,25,120,FALSE,9,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,6,1009,,,
EHAM,2018-11-01 02:55,4.7902,52.3154,EHAM 010255Z 13010KT CAVOK 09/05 Q1008 NOSIG,1,2,55,130,FALSE,10,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 03:25,4.7902,52.3154,EHAM 010325Z 12010KT CAVOK 09/05 Q1008 NOSIG,1,3,25,120,FALSE,10,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 03:55,4.7902,52.3154,EHAM 010355Z 14011KT CAVOK 10/05 Q1008 NOSIG,1,3,55,140,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,10,5,1008,,,
EHAM,2018-11-01 04:25,4.7902,52.3154,EHAM 010425Z 14011KT CAVOK 09/05 Q1008 NOSIG,1,4,25,140,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 04:55,4.7902,52.3154,EHAM 010455Z 14011KT CAVOK 09/05 Q1008 NOSIG,1,4,55,140,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 05:25,4.7902,52.3154,EHAM 010525Z 14012KT CAVOK 09/05 Q1008 NOSIG,1,5,25,140,FALSE,12,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 05:55,4.7902,52.3154,EHAM 010555Z 14011KT CAVOK 09/05 Q1007 NOSIG,1,5,55,140,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1007,,,
EHAM,2018-11-01 06:25,4.7902,52.3154,EHAM 010625Z 14011KT 110V170 CAVOK 09/05 Q1008 NOSIG,1,6,25,140,FALSE,11,,KT,110,170,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 06:55,4.7902,52.3154,EHAM 010655Z 14011KT CAVOK 09/05 Q1008 NOSIG,1,6,55,140,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 07:25,4.7902,52.3154,EHAM 010725Z 14012KT CAVOK 09/05 Q1008 NOSIG,1,7,25,140,FALSE,12,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,5,1008,,,
EHAM,2018-11-01 07:55,4.7902,52.3154,EHAM 010755Z 13011KT CAVOK 09/06 Q1008 NOSIG,1,7,55,130,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,9,6,1008,,,
EHAM,2018-11-01 08:25,4.7902,52.3154,EHAM 010825Z 14011KT 110V170 CAVOK 10/06 Q1008 NOSIG,1,8,25,140,FALSE,11,,KT,110,170,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,10,6,1008,,,
EHAM,2018-11-01 08:55,4.7902,52.3154,EHAM 010855Z 15012KT 110V170 CAVOK 11/06 Q1008 NOSIG,1,8,55,150,FALSE,12,,KT,110,170,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,11,6,1008,,,
EHAM,2018-11-01 09:25,4.7902,52.3154,EHAM 010925Z 16012KT CAVOK 11/06 Q1008 NOSIG,1,9,25,160,FALSE,12,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,11,6,1008,,,
EHAM,2018-11-01 09:55,4.7902,52.3154,EHAM 010955Z 16013KT CAVOK 12/07 Q1008 NOSIG,1,9,55,160,FALSE,13,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,12,7,1008,,,
EHAM,2018-11-01 10:25,4.7902,52.3154,EHAM 011025Z 16013KT 130V190 CAVOK 12/07 Q1008 NOSIG,1,10,25,160,FALSE,13,,KT,130,190,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,12,7,1008,,,
EHAM,2018-11-01 10:55,4.7902,52.3154,EHAM 011055Z 16013KT 140V200 CAVOK 12/07 Q1008 NOSIG,1,10,55,160,FALSE,13,,KT,140,200,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,12,7,1008,,,
EHAM,2018-11-01 11:25,4.7902,52.3154,EHAM 011125Z 16013KT 9999 -RA NSC 12/07 Q1007 NOSIG,1,11,25,160,FALSE,13,,KT,,,9999,,,,,,,,,,EHAM -RA NOSIG,NSC,,,,,,,,,,,12,7,1007,,,
EHAM,2018-11-01 11:55,4.7902,52.3154,EHAM 011155Z 17011KT CAVOK 12/07 Q1007 NOSIG,1,11,55,170,FALSE,11,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,12,7,1007,,,
EHAM,2018-11-01 12:25,4.7902,52.3154,EHAM 011225Z 16009KT 130V190 CAVOK 12/07 Q1007 NOSIG,1,12,25,160,FALSE,9,,KT,130,190,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,12,7,1007,,,
EHAM,2018-11-01 12:55,4.7902,52.3154,EHAM 011255Z 15010KT CAVOK 12/08 Q1007 NOSIG,1,12,55,150,FALSE,10,,KT,,,,,,,,,,,,,EHAM NOSIG,CAVOK,,,,,,,,,,,12,8,1007,,,
